triplet_corr_orig,triplet_corr_model,triplet_corr_independent
-0.2340000000000001,-0.23916000000000032,-0.16778944000000034
-0.2460000000000001,-0.2542200000000003,-0.1510662400000003
-0.2660000000000001,-0.24536000000000033,-0.1493381760000003
-0.2520000000000001,-0.25244000000000033,-0.15939996800000034
-0.20800000000000007,-0.23226000000000022,-0.1435129280000003
-0.2660000000000001,-0.2722800000000003,-0.18198700800000037
-0.2500000000000001,-0.26286000000000037,-0.16384876800000034
-0.2640000000000001,-0.2492600000000003,-0.17488822400000037
-0.20200000000000007,-0.23884000000000027,-0.14488032000000028
-0.2560000000000001,-0.23928000000000021,-0.1546417600000003
-0.2360000000000001,-0.24410000000000026,-0.13922896000000026
-0.2540000000000001,-0.2553200000000003,-0.17655456000000036
-0.27800000000000014,-0.28050000000000036,-0.1589577600000003
-0.2560000000000001,-0.2629000000000003,-0.16966768000000035
-0.2600000000000001,-0.27932000000000035,-0.16772683200000033
-0.2600000000000001,-0.26702000000000037,-0.1510098720000003
-0.29400000000000015,-0.26474000000000036,-0.16118429600000034
-0.31200000000000017,-0.2969000000000004,-0.1840241760000004
